word,pos,category_codes,category_names
believer,n,GENN,一般名詞
bell,n,GENN,一般名詞
belly,n,GENN,一般名詞
belong,v,VERB,通用商務動詞
belongings,n,GENN,一般名詞
beloved,a,GENADJ,一般形容詞
below,ad,GENADV,一般副詞
belt,n,GENN,一般名詞
bench,n,GENN,一般名詞
benchmark,n,GENN,一般名詞
bend,v,VERB,通用商務動詞
beneath,ad,GENADV,一般副詞
benefactor,n,GENN,一般名詞
benignl,a,GENADJ,一般形容詞
bent,a,GENADJ,一般形容詞
beside,prep,FUNC,連接詞／介系詞等功能詞
besides,ad,GENADV,一般副詞
bet,n,GENN,一般名詞
betray,v,VERB,通用商務動詞
betrayal,n,GENN,一般名詞
better,a,GENADJ,一般形容詞
between,ad,GENADV,一般副詞
beverage,n,FOOD,餐飲
beware,v,VERB,通用商務動詞
bias,n,GENN,一般名詞
bicycle,n,GENN,一般名詞
bid,v,ORDER,採購／訂單
bidder,n,ORDER,採購／訂單
bilingual,a,GENADJ,一般形容詞
bill,n,FIN,財務／會計
billboard,n,WORK,職場／辦公室日常
billion,n,GENN,一般名詞
bin,n,GENN,一般名詞
bind,v,VERB,通用商務動詞
binding,n,GENN,一般名詞
biological,a,GENADJ,一般形容詞
biology,n,GENN,一般名詞
birth,n,GENN,一般名詞
birthday,n,GENN,一般名詞
bit,n,GENN,一般名詞
bite,v,VERB,通用商務動詞
bitter,a,GENADJ,一般形容詞
bizarre,a,GENADJ,一般形容詞
blame,v,VERB,通用商務動詞
bland,a,GENADJ,一般形容詞
blank,a,GENADJ,一般形容詞
blanket,n,GENN,一般名詞
bleak,a,GENADJ,一般形容詞
bleed,v,VERB,通用商務動詞
blend,v,VERB,通用商務動詞
blender,n,GENN,一般名詞
blind,a,GENADJ,一般形容詞
block,n,GENN,一般名詞
blockage,n,GENN,一般名詞
blood,n,GENN,一般名詞
bloom,n,GENN,一般名詞
blossom,n,GENN,一般名詞
blow,v,VERB,通用商務動詞
blunder,v,VERB,通用商務動詞
blur,v,VERB,通用商務動詞
board,n,TRAVEL,差旅與交通
boardroom,n,WORK,職場／辦公室日常
boast,v,VERB,通用商務動詞
boat,n,GENN,一般名詞
body,n,GENN,一般名詞
boil,v,VERB,通用商務動詞
bold,a,EMOTION,情緒與個性形容詞
bomb,n,GENN,一般名詞
bombard,v,VERB,通用商務動詞
bond,n,BANK,銀行與投資
bone,n,GENN,一般名詞
bonus,n,HR,人資／招聘
book,n,GENN,一般名詞
booklet,n,GENN,一般名詞
bookshelf,n,HOME,居家／房間／家具
bookstore,n,GENN,一般名詞
boom,n,GENN,一般名詞
boost,v,VERB,通用商務動詞
boot,n,GENN,一般名詞
booth,n,GENN,一般名詞
border,n,GENN,一般名詞
borderline,n,GENN,一般名詞
boring,a,EMOTION,情緒與個性形容詞
borrow,v,VERB,通用商務動詞
boss,n,GENN,一般名詞
bother,v,VERB,通用商務動詞
bothersome,a,GENADJ,一般形容詞
bottle,n,GENN,一般名詞
bottom,n,GENN,一般名詞
boulevard,n,GENN,一般名詞
bounce,v,VERB,通用商務動詞
bound,v,VERB,通用商務動詞
boundary,n,GENN,一般名詞
bow,n,GENN,一般名詞
bowl,n,GENN,一般名詞
box,n,GENN,一般名詞
boycott,v,VERB,通用商務動詞
brace,n,GENN,一般名詞
bracket,n,GENN,一般名詞
brain,n,GENN,一般名詞
brainstorm,v,MEET,會議與簡報
brake,v,VERB,通用商務動詞
branch,n,GENN,一般名詞
brand,n,MKT,行銷與業務
brand-new,a,GENADJ,一般形容詞
brave,a,EMOTION,情緒與個性形容詞
bravely,ad,EMOTION,情緒與個性形容詞
bravo,n,GENN,一般名詞
breach,n,LEGAL,法律與合約
bread,n,GENN,一般名詞
breadth,n,GENN,一般名詞
break,v,VERB,通用商務動詞
breakable,a,GENADJ,一般形容詞
breakdown,n,GENN,一般名詞
breakfast,n,FOOD,餐飲
breakout,n,GENN,一般名詞
breakthrough,n,GENN,一般名詞
breakup,n,GENN,一般名詞
breathe,v,VERB,通用商務動詞
breathless,a,GENADJ,一般形容詞
breathtaking,a,GENADJ,一般形容詞
breeze,n,WEATHER,天氣與環境
brick,n,GENN,一般名詞
bride,n,GENN,一般名詞
bridge,n,GENN,一般名詞
brief,a,GENADJ,一般形容詞
briefcase,n,WORK,職場／辦公室日常
bright,a,GENADJ,一般形容詞
brighten,v,VERB,通用商務動詞
brilliant,a,EMOTION,情緒與個性形容詞
brisk,a,GENADJ,一般形容詞
brittle,a,GENADJ,一般形容詞
broadcast,v,MEDIA,媒體與傳播
brochure,n,GENN,一般名詞
broker,n,TITLE,職稱與部門角色
brokered,v,VERB,通用商務動詞
browse,v,WORK|SHOP,職場／辦公室日常、購物與零售
browser,n,WORK|TECH,職場／辦公室日常、科技與電腦
bruise,n,GENN,一般名詞
brush,v,VERB,通用商務動詞
brush-off,n,GENN,一般名詞
bruta,a,GENADJ,一般形容詞
brutally,ad,GENADV,一般副詞
bubble,n,GENN,一般名詞
bucket,n,GENN,一般名詞
buckle,n,GENN,一般名詞
budge,v,VERB,通用商務動詞
budget,n,FIN,財務／會計
build,v,VERB,通用商務動詞
building,n,GENN,一般名詞
bulk,n,ORDER,採購／訂單
business,n,GENN,一般名詞
businessman,n,GENN,一般名詞
busy,a,GENADJ,一般形容詞
button,n,WORK,職場／辦公室日常
buy,v,VERB,通用商務動詞
buyer,n,MKT,行銷與業務
cab,n,TRAVEL,差旅與交通
cabin,n,GENN,一般名詞
cabine,n,GENN,一般名詞
cable,n,GENN,一般名詞
cafeteria,n,FOOD,餐飲
caffeine,n,GENN,一般名詞
calcium,n,GENN,一般名詞
calculate,v,VERB,通用商務動詞
calculation,n,GENN,一般名詞
calculator,n,GENN,一般名詞
calendar,n,WORK,職場／辦公室日常
caliber,n,GENN,一般名詞
call,v,VERB,通用商務動詞
caller,n,GENN,一般名詞
calling,n,GENN,一般名詞
calm,a,EMOTION,情緒與個性形容詞
camera,n,GENN,一般名詞
camp,n,GENN,一般名詞
campaign,n,MKT,行銷與業務
campus,n,GENN,一般名詞
cancel,v,VERB,通用商務動詞
cancellation,n,GENN,一般名詞
candid,a,GENADJ,一般形容詞
candidate,n,HR,人資／招聘
capability,n,GENN,一般名詞
capable,a,GENADJ,一般形容詞
capacity,n,GENN,一般名詞
capital,n,FIN,財務／會計
capitalization,n,BANK,銀行與投資
capitalize,v,BANK,銀行與投資
capture,v,VERB,通用商務動詞
care,v,VERB,通用商務動詞
career,n,GENN,一般名詞
careful,a,EMOTION,情緒與個性形容詞
carefully,ad,EMOTION,情緒與個性形容詞
cargo,n,LOG,物流與運輸
carpet,n,HOME,居家／房間／家具
carrier,n,LOG,物流與運輸
carry,v,VERB,通用商務動詞
cart,n,SHOP,購物與零售
carton,n,GENN,一般名詞
case,n,GENN,一般名詞
cash,n,FIN,財務／會計
cast,v,VERB,通用商務動詞
catalog,n,ORDER|SHOP,採購／訂單、購物與零售
categorize,v,VERB,通用商務動詞
category,n,GENN,一般名詞
cater,v,FOOD,餐飲
catering,n,FOOD,餐飲
cause,n,GENN,一般名詞
caution,n,EMOTION,情緒與個性形容詞
cautious,a,EMOTION,情緒與個性形容詞
central,a,GENADJ,一般形容詞
century,n,GENN,一般名詞
ceremony,n,GENN,一般名詞
certain,a,GENADJ,一般形容詞
certainly,ad,GENADV,一般副詞
certify,v,EDU,教育與學術
chain,n,LOG,物流與運輸
challenge,v,VERB,通用商務動詞
change,v,VERB,通用商務動詞
changeable,a,GENADJ,一般形容詞
chapter,n,GENN,一般名詞
character,n,GENN,一般名詞
characteristic,a,GENADJ,一般形容詞
characterize,v,VERB,通用商務動詞
charge,v,VERB,通用商務動詞
chart,n,GENN,一般名詞
check,n,GENN,一般名詞
chef,n,TITLE|FOOD,職稱與部門角色、餐飲
cheque,n,GENN,一般名詞
choice,n,GENN,一般名詞
choose,v,VERB,通用商務動詞
chore,n,GENN,一般名詞
circle,n,GENN,一般名詞
circumspect,a,GENADJ,一般形容詞
circumstance,n,GENN,一般名詞
circumvent,v,VERB,通用商務動詞
citation,n,GENN,一般名詞
citizen,n,GOV,政府／公共事務
citizenship,n,GOV,政府／公共事務
city,n,GENN,一般名詞
civic,a,GOV,政府／公共事務
claim,v,BANK|CS,銀行與投資、客戶服務
clarify,v,VERB,通用商務動詞
clause,n,LEGAL,法律與合約
clear,a,GENADJ,一般形容詞
clearance,n,GENN,一般名詞
clearly,ad,GENADV,一般副詞
clerk,n,TITLE|SHOP,職稱與部門角色、購物與零售
client,n,MKT|CS,行銷與業務、客戶服務
climate,n,WEATHER,天氣與環境
climb,v,VERB,通用商務動詞
clip,v,WORK,職場／辦公室日常
clock,n,GENN,一般名詞
coach,n,TITLE|ARTS,職稱與部門角色、藝術娛樂／運動休閒
cognition,n,GENN,一般名詞
coherent,a,GENADJ,一般形容詞
cohesive,a,GENADJ,一般形容詞
coin,n,GENN,一般名詞
coincidence,n,GENN,一般名詞
collaborate,v,VERB,通用商務動詞
collaboration,v,VERB,通用商務動詞
collateral,a,BANK,銀行與投資
colleague,n,WORK,職場／辦公室日常
collect,v,VERB,通用商務動詞
collectible,a,GENADJ,一般形容詞
collection,n,GENN,一般名詞
college,n,EDU,教育與學術
collide,v,VERB,通用商務動詞
combination,n,GENN,一般名詞
combine,v,VERB,通用商務動詞
come,v,VERB,通用商務動詞
comfort,v,VERB,通用商務動詞
comfortable,a,GENADJ,一般形容詞
comforting,a,GENADJ,一般形容詞
command,v,VERB,通用商務動詞
comment,n,GENN,一般名詞
commentary,n,GENN,一般名詞
commerce,n,GENN,一般名詞
commercial,a,MKT|MEDIA,行銷與業務、媒體與傳播
commission,n,MKT,行銷與業務
commit,v,VERB,通用商務動詞
commitment,n,GENN,一般名詞
committed,a,GENADJ,一般形容詞
commodity,n,GENN,一般名詞
common,a,GENADJ,一般形容詞
communication,n,GENN,一般名詞
commute,v,TRAVEL,差旅與交通
commuter,n,TRAVEL,差旅與交通
company,n,GENN,一般名詞
comparatively,ad,GENADV,一般副詞
compare,v,VERB,通用商務動詞
comparison,n,GENN,一般名詞
compatible,a,GENADJ,一般形容詞
compel,v,VERB,通用商務動詞
compensate,v,VERB,通用商務動詞
compensation,n,GENN,一般名詞
compete,v,VERB,通用商務動詞
competent,a,GENADJ,一般形容詞
competition,n,MKT,行銷與業務
competitive,a,MKT,行銷與業務
competitor,n,MKT,行銷與業務
complain,v,CS,客戶服務
complaint,n,CS,客戶服務
complete,v,VERB,通用商務動詞
completion,n,GENN,一般名詞
complex,a,GENADJ,一般形容詞
compliant,a,GENADJ,一般形容詞
complicate,v,VERB,通用商務動詞
complicated,a,GENADJ,一般形容詞
compliment,n,GENN,一般名詞
comply,v,LEGAL,法律與合約
component,n,MFG,生產與製造
compose,v,VERB,通用商務動詞
composition,n,GENN,一般名詞
composure,n,GENN,一般名詞
comprehend,v,VERB,通用商務動詞
comprehensive,a,GENADJ,一般形容詞
comprise,v,VERB,通用商務動詞
compromise,v,VERB,通用商務動詞
compute,v,VERB,通用商務動詞
conceal,v,VERB,通用商務動詞
conceive,v,VERB,通用商務動詞
concentrate,v,VERB,通用商務動詞
concept,n,GENN,一般名詞
concern,v,VERB,通用商務動詞
concerning,prep,FUNC,連接詞／介系詞等功能詞
conclude,v,VERB,通用商務動詞
conclusion,n,GENN,一般名詞
concrete,a,GENADJ,一般形容詞
concur,v,VERB,通用商務動詞
condition,n,LEGAL,法律與合約
conduct,v,VERB,通用商務動詞
conference,n,MEET,會議與簡報
confuse,v,VERB,通用商務動詞
confusion,n,GENN,一般名詞
conscious,a,GENADJ,一般形容詞
consciously,ad,GENADV,一般副詞
consciousness,n,GENN,一般名詞
consecutive,a,TIME,時間／頻率／程度副詞
consequently,ad,GENADV,一般副詞
conservative,a,GENADJ,一般形容詞
conserve,v,VERB,通用商務動詞
consider,v,VERB,通用商務動詞
consideration,n,GENN,一般名詞
considering,prep,FUNC,連接詞／介系詞等功能詞
consist,v,VERB,通用商務動詞
consistency,n,GENN,一般名詞
consistent,a,GENADJ,一般形容詞
consistently,ad,GENADV,一般副詞
constant,a,TIME,時間／頻率／程度副詞
constrain,v,VERB,通用商務動詞
constraint,n,GENN,一般名詞
construction,n,GENN,一般名詞
consultancy,n,TITLE,職稱與部門角色
consultant,n,TITLE,職稱與部門角色
consume,v,VERB,通用商務動詞
consumer,n,MKT,行銷與業務
consumption,n,GENN,一般名詞
contact,n,GENN,一般名詞
contain,v,VERB,通用商務動詞
contemporary,a,GENADJ,一般形容詞
content,n,EMOTION,情緒與個性形容詞
contest,v,VERB,通用商務動詞
context,n,GENN,一般名詞
continue,v,VERB,通用商務動詞
continuity,n,GENN,一般名詞
continuous,a,TIME,時間／頻率／程度副詞
contract,n,ORDER|LEGAL,採購／訂單、法律與合約
contractor,n,TITLE,職稱與部門角色
contrary,a,GENADJ,一般形容詞
control,v,MFG,生產與製造
controlling,a,GENADJ,一般形容詞
convenience,n,GENN,一般名詞
convenient,a,GENADJ,一般形容詞
convention,n,GENN,一般名詞
conventional,a,GENADJ,一般形容詞
conversation,n,GENN,一般名詞
convey,v,VERB,通用商務動詞
conviction,n,GENN,一般名詞
convince,v,VERB,通用商務動詞
cooperation,n,GENN,一般名詞
coordinate,v,VERB,通用商務動詞
cope,v,VERB,通用商務動詞
copy,v,VERB,通用商務動詞
cordially,ad,GENADV,一般副詞
corner,n,GENN,一般名詞
corporate,a,GENADJ,一般形容詞
correct,a,GENADJ,一般形容詞
corrupt,a,GENADJ,一般形容詞
corruption,n,GENN,一般名詞
cost,v,FIN,財務／會計
council,n,TITLE|GOV,職稱與部門角色、政府／公共事務
counsel,n,TITLE,職稱與部門角色
counter,ad,GENADV,一般副詞
couple,n,GENN,一般名詞
coupon,n,MKT|SHOP,行銷與業務、購物與零售
courier,n,LOG,物流與運輸
course,n,EDU,教育與學術
court,n,LEGAL,法律與合約
courteously,ad,GENADV,一般副詞
courtesy,n,GENN,一般名詞
cover,v,VERB,通用商務動詞
coverage,n,GENN,一般名詞
crack,n,GENN,一般名詞
craft,n,MFG,生產與製造
crafted,a,MFG,生產與製造
crane,n,GENN,一般名詞
crash,v,VERB,通用商務動詞
create,v,VERB,通用商務動詞
creation,n,GENN,一般名詞
creative,a,GENADJ,一般形容詞
creativity,n,GENN,一般名詞
creature,n,GENN,一般名詞
credential,n,GENN,一般名詞
credible,a,GENADJ,一般形容詞
credit,n,BANK|FIN,銀行與投資、財務／會計
creditor,n,GENN,一般名詞
crew,n,GENN,一般名詞
crime,n,GENN,一般名詞
criminal,n,GENN,一般名詞
crisis,n,GENN,一般名詞
